id,nombre,slug,categoria,subcategoria,facebook,instagram,whatsapp,messenger,telefono,correo,sitio_web,ciudad,estado,pais,direccion,latitud,longitud,descripcion,horario,score_comercial,estado_comercial,origen,archivo_origen,fecha_creacion,ultima_actualizacion,observaciones
SB-REST-326774B7,Afogatto Café,afogatto-cafe-tuxtla-gutierrez,Cafetería,Cafetería,,https://www.instagram.com/afogattocafe,+529614253604,,+529614253604,,https://www.instagram.com/afogattocafe/,Tuxtla Gutiérrez,Chiapas,México,"calzada del sumidero y Japón 0, Vecinal, Estrella de Oriente, 29010 Tuxtla Gutiérrez, Chis., México",,,,sábado: 5 to 10 PM | domingo: 5 to 10 PM | lunes: Cerrado | martes: 5 to 10 PM | miércoles: 5 to 10 PM | jueves: 5 to 10 PM | viernes: 5 to 10 PM,70,Listo para Contacto,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-13-15-900.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:27:37.910805,2026-08-05T02:27:40.933715,Ingestado desde dataset_crawler-google-places_2026-08-01_08-13-15-900.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv
SB-REST-3F109989,AGAF Club Nutrición,agaf-club-nutricion-tuxtla-gutierrez,Cafetería,Cafetería,,,+529613309683,,+529613309683,,,Tuxtla Gutiérrez,Chiapas,México,"Belisario Domínguez 96, Bienestar Soc, 29077 Tuxtla Gutiérrez, Chis., México",,,,sábado: 8 AM to 10 PM | domingo: 9 AM to 8 PM | lunes: 8 AM to 10 PM | martes: 8 AM to 10 PM | miércoles: 8 AM to 10 PM | jueves: 8 AM to 10 PM | viernes: 8 AM to 10 PM,40,Requiere Enriquecimiento,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-13-15-900.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:27:38.102106,2026-08-05T02:27:40.936574,Ingestado desde dataset_crawler-google-places_2026-08-01_08-13-15-900.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv
SB-REST-57B35900,Agricultores de la Selva de Chiapas,agricultores-de-la-selva-de-chiapas-tuxtla-gutierrez,Cafetería,Cafetería,,,+529615792837,,+529615792837,,,Tuxtla Gutiérrez,Chiapas,México,"Esq. con, Avenida central oriente, 15a. C. Ote. 1619, 29000 Tuxtla Gutiérrez, Chis., México",,,,sábado: 9 AM to 1:30 PM | domingo: Cerrado | lunes: 9 AM to 7:30 PM | martes: 9 AM to 7:30 PM | miércoles: 9 AM to 7:30 PM | jueves: 9 AM to 7:30 PM | viernes: 9 AM to 7:30 PM,40,Requiere Enriquecimiento,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-13-15-900.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:27:38.111392,2026-08-05T02:27:40.943427,Ingestado desde dataset_crawler-google-places_2026-08-01_08-13-15-900.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv
SB-REST-4B14F76A,Aguachiles Estilo Sinaloa,aguachiles-estilo-sinaloa-tuxtla-gutierrez,Mariscos,Mariscos,,http://www.instagram.com/aguachilesestilosinaloatux,+529613865069,,+529613865069,,http://www.instagram.com/aguachilesestilosinaloatux,Tuxtla Gutiérrez,Chiapas,México,"Prolongación de la, 5a. Nte. Pte., Calichal, 29026 Tuxtla Gutiérrez, Chis., México",,,,sábado: 12 to 6 PM | domingo: 12 to 6 PM | lunes: Cerrado | martes: 12 to 6 PM | miércoles: 12 to 6 PM | jueves: 12 to 6 PM | viernes: 12 to 6 PM,70,Listo para Contacto,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-05-47-215.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:27:37.367388,2026-08-05T02:27:40.924403,Ingestado desde dataset_crawler-google-places_2026-08-01_08-05-47-215.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv
SB-REST-8D013DBF,Aguachilosos,aguachilosos-copoya,Mariscos,Mariscos,,https://www.instagram.com/agua_chilosos,,,,,https://www.instagram.com/agua_chilosos?igsh=MWlvaHZubndpbzd0cw==,Copoya,Chiapas,México,"Av. Central Ote. 381, Copoya, 29100 Copoya, Chis., México",,,,sábado: 12 to 5 PM | domingo: 12 to 5 PM | lunes: Cerrado | martes: Cerrado | miércoles: Cerrado | jueves: Cerrado | viernes: Cerrado,45,Requiere Enriquecimiento,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-05-47-215.csv, dataset_crawler-google-places_2026-08-01_08-13-15-900.csv, dataset_crawler-google-places_2026-08-01_08-14-31-906.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:27:37.470463,2026-08-05T02:27:40.951894,Ingestado desde dataset_crawler-google-places_2026-08-01_08-05-47-215.csv | Ingestado desde dataset_crawler-google-places_2026-08-01_08-13-15-900.csv | Ingestado desde dataset_crawler-google-places_2026-08-01_08-14-31-906.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv
SB-REST-0B66D46C,Akira Makis (@Akira.snacksysushi),akira-makis-akirasnacksysushi-tuxtla-gutierrez,Comida Internacional,Sushi & Comida Japonesa,https://www.facebook.com/Akira.snacksysushi,,,https://m.me/Akira.snacksysushi,,,,Tuxtla Gutiérrez,Chiapas,México,,,,,,25,Requiere Enriquecimiento,Downloads Batch Ingestion,Base_Restaurantes_StreetBoss_V2.xlsx,2026-08-05T02:27:35.313514,2026-08-05T02:27:35.313514,Ingestado desde Base_Restaurantes_StreetBoss_V2.xlsx
SB-REST-99552BF2,Akira snacks y sushi,akira-snacks-y-sushi-tuxtla-gutierrez,Comida Internacional,Sushi & Comida Japonesa,,,+529616052365,,+529616052365,,,Tuxtla Gutiérrez,Chiapas,México,"Mayor Julio Sabines, C. Natalia Venegas 455-440, La Victoria, 29010 Tuxtla Gutiérrez, Chis., México",,,,sábado: 8 AM to 9 PM | domingo: 8 AM to 9 PM | lunes: 8 AM to 9 PM | martes: 8 AM to 9 PM | miércoles: 8 AM to 9 PM | jueves: 8 AM to 9 PM | viernes: 8 AM to 9 PM,40,Requiere Enriquecimiento,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-04-47-905.csv, streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:27:37.235358,2026-08-05T02:27:40.937012,Ingestado desde dataset_crawler-google-places_2026-08-01_08-04-47-905.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv
SB-REST-3A9A8ECF,Al barbón | Tuxtla Gutiérrez,al-barbon-tuxtla-gutierrez-tuxtla-gutierrez,Bar,Bar & Bares,https://www.facebook.com/108399414417367,,,https://m.me/108399414417367,,,,Tuxtla Gutiérrez,Chiapas,México,,,,,,25,Requiere Enriquecimiento,Downloads Batch Ingestion,Base_Restaurantes_StreetBoss_V2.xlsx,2026-08-05T02:27:35.324271,2026-08-05T02:27:35.324271,Ingestado desde Base_Restaurantes_StreetBoss_V2.xlsx
SB-REST-F1931355,Ala Burger,ala-burger-tuxtla-gutierrez,Comida Rápida,Hamburguesería,,,+529618931191,,+529618931191,,https://wa.me/c/5219618931191,Tuxtla Gutiérrez,Chiapas,México,"Av. Mactumatzá Manzana 43 Lote 23, San Pedro Progresivo, 29049 Tuxtla Gutiérrez, Chis., México",,,,sábado: 2 PM to 12 AM | domingo: 2 PM to 12 AM | lunes: 6 PM to 12 AM | martes: 6 PM to 12 AM | miércoles: 6 PM to 12 AM | jueves: 6 PM to 12 AM | viernes: 6 PM to 12 AM,55,Listo para Contacto,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-01-35-423.csv, dataset_crawler-google-places_2026-08-01_08-03-48-293.csv, streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:27:36.325495,2026-08-05T02:27:40.928472,Ingestado desde dataset_crawler-google-places_2026-08-01_08-01-35-423.csv | Ingestado desde dataset_crawler-google-places_2026-08-01_08-03-48-293.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv
SB-REST-811E9078,Alabama Cocina de Mar | Tuxtla Gutiérrez,alabama-cocina-de-mar-tuxtla-gutierrez-tuxtla-gutierrez,Restaurante,Restaurante General,https://www.facebook.com/p/Alabama-Cocina-de-Mar-61575187616435,,,https://m.me/Alabama-Cocina-de-Mar-61575187616435,,,,Tuxtla Gutiérrez,Chiapas,México,,,,,,25,Requiere Enriquecimiento,Downloads Batch Ingestion,Base_Restaurantes_StreetBoss_V2.xlsx,2026-08-05T02:27:35.293101,2026-08-05T02:27:35.293101,Ingestado desde Base_Restaurantes_StreetBoss_V2.xlsx
