day,date,type,destination,file,status,approval
15,2026-08-10,export,07-reels/month-01/,day-15_el-30-que-regalas_pain.png,PENDIENTE,NO APROBADO
16,2026-08-11,post,06-posts/month-01/,day-16_anatomia-de-un-pedido-perfecto_carousel.md,PENDIENTE,NO APROBADO
16,2026-08-11,export,06-posts/month-01/,day-16_anatomia-de-un-pedido-perfecto_carousel.png,PENDIENTE,NO APROBADO
17,2026-08-12,reel,07-reels/month-01/,day-17_tu-menu-hipervisual_product.md,PENDIENTE,NO APROBADO
17,2026-08-12,export,07-reels/month-01/,day-17_tu-menu-hipervisual_product.png,PENDIENTE,NO APROBADO
18,2026-08-13,post,06-posts/month-01/,day-18_15-minutos-para-publicar_data.md,PENDIENTE,NO APROBADO
18,2026-08-13,export,06-posts/month-01/,day-18_15-minutos-para-publicar_data.png,PENDIENTE,NO APROBADO
19,2026-08-14,reel,07-reels/month-01/,day-19_hamburguesa-jugosa-a-45_foodporn.md,PENDIENTE,NO APROBADO
19,2026-08-14,export,07-reels/month-01/,day-19_hamburguesa-jugosa-a-45_foodporn.png,PENDIENTE,NO APROBADO
20,2026-08-15,post,06-posts/month-01/,day-20_tu-restaurante-tus-reglas_culture.md,PENDIENTE,NO APROBADO
20,2026-08-15,export,06-posts/month-01/,day-20_tu-restaurante-tus-reglas_culture.png,PENDIENTE,NO APROBADO
21,2026-08-16,post,06-posts/month-01/,day-21_app-para-descargar-no-hace-falta_commercial.md,PENDIENTE,NO APROBADO
21,2026-08-16,export,06-posts/month-01/,day-21_app-para-descargar-no-hace-falta_commercial.png,PENDIENTE,NO APROBADO
22,2026-08-17,reel,07-reels/month-01/,day-22_errores-en-cocina-por-mala-comunicacion_pain.md,PENDIENTE,NO APROBADO
22,2026-08-17,export,07-reels/month-01/,day-22_errores-en-cocina-por-mala-comunicacion_pain.png,PENDIENTE,NO APROBADO
23,2026-08-18,post,06-posts/month-01/,day-23_5-fotos-que-venden-mas-comida_carousel.md,PENDIENTE,NO APROBADO
23,2026-08-18,export,06-posts/month-01/,day-23_5-fotos-que-venden-mas-comida_carousel.png,PENDIENTE,NO APROBADO
24,2026-08-19,reel,07-reels/month-01/,day-24_publica-tu-menu-en-15-minutos_product.md,PENDIENTE,NO APROBADO
24,2026-08-19,export,07-reels/month-01/,day-24_publica-tu-menu-en-15-minutos_product.png,PENDIENTE,NO APROBADO
25,2026-08-20,post,06-posts/month-01/,day-25_el-30-que-te-quedas_data.md,PENDIENTE,NO APROBADO
25,2026-08-20,export,06-posts/month-01/,day-25_el-30-que-te-quedas_data.png,PENDIENTE,NO APROBADO
26,2026-08-21,reel,07-reels/month-01/,day-26_mariscos-frescos-brillando_foodporn.md,PENDIENTE,NO APROBADO
26,2026-08-21,export,07-reels/month-01/,day-26_mariscos-frescos-brillando_foodporn.png,PENDIENTE,NO APROBADO
27,2026-08-22,post,06-posts/month-01/,day-27_recupera-el-control_culture.md,PENDIENTE,NO APROBADO
27,2026-08-22,export,06-posts/month-01/,day-27_recupera-el-control_culture.png,PENDIENTE,NO APROBADO
28,2026-08-23,post,06-posts/month-01/,day-28_comision-por-venta-cero_commercial.md,PENDIENTE,NO APROBADO
28,2026-08-23,export,06-posts/month-01/,day-28_comision-por-venta-cero_commercial.png,PENDIENTE,NO APROBADO
29,2026-08-24,reel,07-reels/month-01/,day-29_no-sabes-quien-es-tu-cliente_pain.md,PENDIENTE,NO APROBADO
29,2026-08-24,export,07-reels/month-01/,day-29_no-sabes-quien-es-tu-cliente_pain.png,PENDIENTE,NO APROBADO
30,2026-08-25,post,06-posts/month-01/,day-30_que-es-un-escaparate-digital_carousel.md,PENDIENTE,NO APROBADO
30,2026-08-25,export,06-posts/month-01/,day-30_que-es-un-escaparate-digital_carousel.png,PENDIENTE,NO APROBADO
31,2026-08-26,reel,07-reels/month-02/,day-31_agotar-un-platillo-en-1-toque_product.md,PENDIENTE,NO APROBADO
31,2026-08-26,export,07-reels/month-02/,day-31_agotar-un-platillo-en-1-toque_product.png,PENDIENTE,NO APROBADO
32,2026-08-27,post,06-posts/month-02/,day-32_app-vs-link-directo_data.md,PENDIENTE,NO APROBADO
32,2026-08-27,export,06-posts/month-02/,day-32_app-vs-link-directo_data.png,PENDIENTE,NO APROBADO
33,2026-08-28,reel,07-reels/month-02/,day-33_cafe-y-pan-recien-horneado_foodporn.md,PENDIENTE,NO APROBADO
33,2026-08-28,export,07-reels/month-02/,day-33_cafe-y-pan-recien-horneado_foodporn.png,PENDIENTE,NO APROBADO
34,2026-08-29,post,06-posts/month-02/,day-34_el-orden-crece_culture.md,PENDIENTE,NO APROBADO
34,2026-08-29,export,06-posts/month-02/,day-34_el-orden-crece_culture.png,PENDIENTE,NO APROBADO
35,2026-08-30,post,06-posts/month-02/,day-35_ya-uso-rappi-ubereats_commercial.md,PENDIENTE,NO APROBADO
35,2026-08-30,export,06-posts/month-02/,day-35_ya-uso-rappi-ubereats_commercial.png,PENDIENTE,NO APROBADO
36,2026-08-31,reel,07-reels/month-02/,day-36_depender-del-algoritmo_pain.md,PENDIENTE,NO APROBADO
36,2026-08-31,export,07-reels/month-02/,day-36_depender-del-algoritmo_pain.png,PENDIENTE,NO APROBADO
37,2026-09-01,post,06-posts/month-02/,day-37_el-costo-real-de-las-comisiones_carousel.md,PENDIENTE,NO APROBADO
37,2026-09-01,export,06-posts/month-02/,day-37_el-costo-real-de-las-comisiones_carousel.png,PENDIENTE,NO APROBADO
38,2026-09-02,reel,07-reels/month-02/,day-38_carrito-flotante-siempre-visible_product.md,PENDIENTE,NO APROBADO
38,2026-09-02,export,07-reels/month-02/,day-38_carrito-flotante-siempre-visible_product.png,PENDIENTE,NO APROBADO
39,2026-09-03,post,06-posts/month-02/,day-39_pdf-vs-escaparate_data.md,PENDIENTE,NO APROBADO
39,2026-09-03,export,06-posts/month-02/,day-39_pdf-vs-escaparate_data.png,PENDIENTE,NO APROBADO
40,2026-09-04,reel,07-reels/month-02/,day-40_alitas-banadas-en-salsa_foodporn.md,PENDIENTE,NO APROBADO
40,2026-09-04,export,07-reels/month-02/,day-40_alitas-banadas-en-salsa_foodporn.png,PENDIENTE,NO APROBADO
41,2026-09-05,post,06-posts/month-02/,day-41_hecho-para-la-calle_culture.md,PENDIENTE,NO APROBADO
41,2026-09-05,export,06-posts/month-02/,day-41_hecho-para-la-calle_culture.png,PENDIENTE,NO APROBADO
42,2026-09-06,post,06-posts/month-02/,day-42_ya-tengo-menu-en-pdf_commercial.md,PENDIENTE,NO APROBADO
42,2026-09-06,export,06-posts/month-02/,day-42_ya-tengo-menu-en-pdf_commercial.png,PENDIENTE,NO APROBADO
43,2026-09-07,reel,07-reels/month-02/,day-43_el-cliente-que-no-encontro-como-pedir_pain.md,PENDIENTE,NO APROBADO
43,2026-09-07,export,07-reels/month-02/,day-43_el-cliente-que-no-encontro-como-pedir_pain.png,PENDIENTE,NO APROBADO
44,2026-09-08,post,06-posts/month-02/,day-44_mobile-first-por-que-importa_carousel.md,PENDIENTE,NO APROBADO
44,2026-09-08,export,06-posts/month-02/,day-44_mobile-first-por-que-importa_carousel.png,PENDIENTE,NO APROBADO
45,2026-09-09,reel,07-reels/month-02/,day-45_sin-apps-que-descargar_product.md,PENDIENTE,NO APROBADO
45,2026-09-09,export,07-reels/month-02/,day-45_sin-apps-que-descargar_product.png,PENDIENTE,NO APROBADO
46,2026-09-10,post,06-posts/month-02/,day-46_whatsapp-donde-ya-estas_data.md,PENDIENTE,NO APROBADO
46,2026-09-10,export,06-posts/month-02/,day-46_whatsapp-donde-ya-estas_data.png,PENDIENTE,NO APROBADO
47,2026-09-11,reel,07-reels/month-02/,day-47_postre-con-chocolate-cayendo_foodporn.md,PENDIENTE,NO APROBADO
47,2026-09-11,export,07-reels/month-02/,day-47_postre-con-chocolate-cayendo_foodporn.png,PENDIENTE,NO APROBADO
48,2026-09-12,post,06-posts/month-02/,day-48_la-comida-es-la-protagonista_culture.md,PENDIENTE,NO APROBADO
48,2026-09-12,export,06-posts/month-02/,day-48_la-comida-es-la-protagonista_culture.png,PENDIENTE,NO APROBADO
49,2026-09-13,post,06-posts/month-02/,day-49_lo-que-incluye-tu-escaparate_commercial.md,PENDIENTE,NO APROBADO
49,2026-09-13,export,06-posts/month-02/,day-49_lo-que-incluye-tu-escaparate_commercial.png,PENDIENTE,NO APROBADO
50,2026-09-14,reel,07-reels/month-02/,day-50_la-guerra-de-precios-del-marketplace_pain.md,PENDIENTE,NO APROBADO
50,2026-09-14,export,07-reels/month-02/,day-50_la-guerra-de-precios-del-marketplace_pain.png,PENDIENTE,NO APROBADO
51,2026-09-15,post,06-posts/month-02/,day-51_como-describir-un-platillo-que-vende_carousel.md,PENDIENTE,NO APROBADO
51,2026-09-15,export,06-posts/month-02/,day-51_como-describir-un-platillo-que-vende_carousel.png,PENDIENTE,NO APROBADO
52,2026-09-16,reel,07-reels/month-02/,day-52_el-qr-en-tu-mesa_product.md,PENDIENTE,NO APROBADO
52,2026-09-16,export,07-reels/month-02/,day-52_el-qr-en-tu-mesa_product.png,PENDIENTE,NO APROBADO
53,2026-09-17,post,06-posts/month-02/,day-53_1-link-todos-tus-canales_data.md,PENDIENTE,NO APROBADO
53,2026-09-17,export,06-posts/month-02/,day-53_1-link-todos-tus-canales_data.png,PENDIENTE,NO APROBADO
54,2026-09-18,reel,07-reels/month-02/,day-54_sushi-rolls-en-fila_foodporn.md,PENDIENTE,NO APROBADO
54,2026-09-18,export,07-reels/month-02/,day-54_sushi-rolls-en-fila_foodporn.png,PENDIENTE,NO APROBADO
55,2026-09-19,post,06-posts/month-02/,day-55_soberania-gastronomica_culture.md,PENDIENTE,NO APROBADO
55,2026-09-19,export,06-posts/month-02/,day-55_soberania-gastronomica_culture.png,PENDIENTE,NO APROBADO
56,2026-09-20,post,06-posts/month-02/,day-56_como-empezar-hoy_commercial.md,PENDIENTE,NO APROBADO
56,2026-09-20,export,06-posts/month-02/,day-56_como-empezar-hoy_commercial.png,PENDIENTE,NO APROBADO
57,2026-09-21,reel,07-reels/month-02/,day-57_tu-marca-escondida_pain.md,PENDIENTE,NO APROBADO
57,2026-09-21,export,07-reels/month-02/,day-57_tu-marca-escondida_pain.png,PENDIENTE,NO APROBADO
58,2026-09-22,post,06-posts/month-02/,day-58_tu-marca-vs-ser-un-renglon_carousel.md,PENDIENTE,NO APROBADO
58,2026-09-22,export,06-posts/month-02/,day-58_tu-marca-vs-ser-un-renglon_carousel.png,PENDIENTE,NO APROBADO
59,2026-09-23,reel,07-reels/month-02/,day-59_checkout-minimalista_product.md,PENDIENTE,NO APROBADO
59,2026-09-23,export,07-reels/month-02/,day-59_checkout-minimalista_product.png,PENDIENTE,NO APROBADO
60,2026-09-24,post,06-posts/month-02/,day-60_rapido--mas-ventas_data.md,PENDIENTE,NO APROBADO
60,2026-09-24,export,06-posts/month-02/,day-60_rapido--mas-ventas_data.png,PENDIENTE,NO APROBADO
61,2026-09-25,reel,07-reels/month-03/,day-61_birria-con-consome-humeante_foodporn.md,PENDIENTE,NO APROBADO
61,2026-09-25,export,07-reels/month-03/,day-61_birria-con-consome-humeante_foodporn.png,PENDIENTE,NO APROBADO
62,2026-09-26,post,06-posts/month-03/,day-62_independencia_culture.md,PENDIENTE,NO APROBADO
62,2026-09-26,export,06-posts/month-03/,day-62_independencia_culture.png,PENDIENTE,NO APROBADO
63,2026-09-27,post,06-posts/month-03/,day-63_para-quien-es-streetboss_commercial.md,PENDIENTE,NO APROBADO
63,2026-09-27,export,06-posts/month-03/,day-63_para-quien-es-streetboss_commercial.png,PENDIENTE,NO APROBADO
64,2026-09-28,reel,07-reels/month-03/,day-64_el-menu-desactualizado_pain.md,PENDIENTE,NO APROBADO
64,2026-09-28,export,07-reels/month-03/,day-64_el-menu-desactualizado_pain.png,PENDIENTE,NO APROBADO
65,2026-09-29,post,06-posts/month-03/,day-65_el-embudo-de-la-venta-directa_carousel.md,PENDIENTE,NO APROBADO
65,2026-09-29,export,06-posts/month-03/,day-65_el-embudo-de-la-venta-directa_carousel.png,PENDIENTE,NO APROBADO
66,2026-09-30,reel,07-reels/month-03/,day-66_fotos-optimizadas-que-cargan-volando_product.md,PENDIENTE,NO APROBADO
66,2026-09-30,export,07-reels/month-03/,day-66_fotos-optimizadas-que-cargan-volando_product.png,PENDIENTE,NO APROBADO
67,2026-10-01,post,06-posts/month-03/,day-67_tu-escaparate-nunca-cierra_data.md,PENDIENTE,NO APROBADO
67,2026-10-01,export,06-posts/month-03/,day-67_tu-escaparate-nunca-cierra_data.png,PENDIENTE,NO APROBADO
68,2026-10-02,reel,07-reels/month-03/,day-68_pizza-saliendo-del-horno_foodporn.md,PENDIENTE,NO APROBADO
68,2026-10-02,export,07-reels/month-03/,day-68_pizza-saliendo-del-horno_foodporn.png,PENDIENTE,NO APROBADO
69,2026-10-03,post,06-posts/month-03/,day-69_simplicidad-extrema_culture.md,PENDIENTE,NO APROBADO
69,2026-10-03,export,06-posts/month-03/,day-69_simplicidad-extrema_culture.png,PENDIENTE,NO APROBADO
70,2026-10-04,post,06-posts/month-03/,day-70_el-primer-pedido-cambia-todo_commercial.md,PENDIENTE,NO APROBADO
70,2026-10-04,export,06-posts/month-03/,day-70_el-primer-pedido-cambia-todo_commercial.png,PENDIENTE,NO APROBADO
71,2026-10-05,reel,07-reels/month-03/,day-71_perder-al-cliente-recurrente_pain.md,PENDIENTE,NO APROBADO
71,2026-10-05,export,07-reels/month-03/,day-71_perder-al-cliente-recurrente_pain.png,PENDIENTE,NO APROBADO
72,2026-10-06,post,06-posts/month-03/,day-72_recompra-el-secreto-del-margen_carousel.md,PENDIENTE,NO APROBADO
72,2026-10-06,export,06-posts/month-03/,day-72_recompra-el-secreto-del-margen_carousel.png,PENDIENTE,NO APROBADO
73,2026-10-07,reel,07-reels/month-03/,day-73_tu-escaparate-en-la-bio_product.md,PENDIENTE,NO APROBADO
73,2026-10-07,export,07-reels/month-03/,day-73_tu-escaparate-en-la-bio_product.png,PENDIENTE,NO APROBADO
74,2026-10-08,post,06-posts/month-03/,day-74_comparativa-soberania-de-datos_data.md,PENDIENTE,NO APROBADO
74,2026-10-08,export,06-posts/month-03/,day-74_comparativa-soberania-de-datos_data.png,PENDIENTE,NO APROBADO
75,2026-10-09,reel,07-reels/month-03/,day-75_elote-y-esquites-callejeros_foodporn.md,PENDIENTE,NO APROBADO
75,2026-10-09,export,07-reels/month-03/,day-75_elote-y-esquites-callejeros_foodporn.png,PENDIENTE,NO APROBADO
76,2026-10-10,post,06-posts/month-03/,day-76_transparencia_culture.md,PENDIENTE,NO APROBADO
76,2026-10-10,export,06-posts/month-03/,day-76_transparencia_culture.png,PENDIENTE,NO APROBADO
77,2026-10-11,post,06-posts/month-03/,day-77_sin-letras-chiquitas_commercial.md,PENDIENTE,NO APROBADO
77,2026-10-11,export,06-posts/month-03/,day-77_sin-letras-chiquitas_commercial.png,PENDIENTE,NO APROBADO
78,2026-10-12,reel,07-reels/month-03/,day-78_el-domingo-de-pedidos-perdidos_pain.md,PENDIENTE,NO APROBADO
78,2026-10-12,export,07-reels/month-03/,day-78_el-domingo-de-pedidos-perdidos_pain.png,PENDIENTE,NO APROBADO
79,2026-10-13,post,06-posts/month-03/,day-79_errores-que-espantan-pedidos_carousel.md,PENDIENTE,NO APROBADO
79,2026-10-13,export,06-posts/month-03/,day-79_errores-que-espantan-pedidos_carousel.png,PENDIENTE,NO APROBADO
80,2026-10-14,reel,07-reels/month-03/,day-80_categorias-que-se-navegan-solas_product.md,PENDIENTE,NO APROBADO
80,2026-10-14,export,07-reels/month-03/,day-80_categorias-que-se-navegan-solas_product.png,PENDIENTE,NO APROBADO
81,2026-10-15,post,06-posts/month-03/,day-81_el-costo-de-un-cliente-perdido_data.md,PENDIENTE,NO APROBADO
81,2026-10-15,export,06-posts/month-03/,day-81_el-costo-de-un-cliente-perdido_data.png,PENDIENTE,NO APROBADO
82,2026-10-16,reel,07-reels/month-03/,day-82_parrillada-al-carbon_foodporn.md,PENDIENTE,NO APROBADO
82,2026-10-16,export,07-reels/month-03/,day-82_parrillada-al-carbon_foodporn.png,PENDIENTE,NO APROBADO
83,2026-10-17,post,06-posts/month-03/,day-83_comunidad-streetboss_culture.md,PENDIENTE,NO APROBADO
83,2026-10-17,export,06-posts/month-03/,day-83_comunidad-streetboss_culture.png,PENDIENTE,NO APROBADO
84,2026-10-18,post,06-posts/month-03/,day-84_tu-competencia-ya-lo-esta-viendo_commercial.md,PENDIENTE,NO APROBADO
84,2026-10-18,export,06-posts/month-03/,day-84_tu-competencia-ya-lo-esta-viendo_commercial.png,PENDIENTE,NO APROBADO
85,2026-10-19,reel,07-reels/month-03/,day-85_la-ilusion-de-ya-tengo-redes_pain.md,PENDIENTE,NO APROBADO
85,2026-10-19,export,07-reels/month-03/,day-85_la-ilusion-de-ya-tengo-redes_pain.png,PENDIENTE,NO APROBADO
86,2026-10-20,post,06-posts/month-03/,day-86_como-lanzar-tu-escaparate-esta-semana_carousel.md,PENDIENTE,NO APROBADO
86,2026-10-20,export,06-posts/month-03/,day-86_como-lanzar-tu-escaparate-esta-semana_carousel.png,PENDIENTE,NO APROBADO
87,2026-10-21,reel,07-reels/month-03/,day-87_antes-y-despues-de-tu-menu_product.md,PENDIENTE,NO APROBADO
87,2026-10-21,export,07-reels/month-03/,day-87_antes-y-despues-de-tu-menu_product.png,PENDIENTE,NO APROBADO
88,2026-10-22,post,06-posts/month-03/,day-88_streetboss-en-numeros_data.md,PENDIENTE,NO APROBADO
88,2026-10-22,export,06-posts/month-03/,day-88_streetboss-en-numeros_data.png,PENDIENTE,NO APROBADO
89,2026-10-23,reel,07-reels/month-03/,day-89_combo-familiar-completo_foodporn.md,PENDIENTE,NO APROBADO
89,2026-10-23,export,07-reels/month-03/,day-89_combo-familiar-completo_foodporn.png,PENDIENTE,NO APROBADO
90,2026-10-24,post,06-posts/month-03/,day-90_tu-marca-merece-brillar_culture.md,PENDIENTE,NO APROBADO
90,2026-10-24,export,06-posts/month-03/,day-90_tu-marca-merece-brillar_culture.png,PENDIENTE,NO APROBADO
